Level,Type,Flow,Year,Source,Item,Amount
Union,approved,expenditure,2012,General Expenditure,Home Affairs,7845.05404
Union,approved,expenditure,2012,General Expenditure,Defence,450520.218
Union,approved,expenditure,2012,General Expenditure,Border Affairs,7428.9917
Union,approved,expenditure,2012,General Expenditure,Foreign Affairs,1593.5228
Union,approved,expenditure,2012,General Expenditure,Information,21119.3578
Union,approved,expenditure,2012,General Expenditure,Culture,3241.40413
Union,approved,expenditure,2012,General Expenditure,Agriculture and Irrigation,191933.1167
Union,approved,expenditure,2012,General Expenditure,Religious Affairs,4401.26112
Union,approved,expenditure,2012,General Expenditure,Co-operative,1184.95161
Union,approved,expenditure,2012,General Expenditure,Livestock and Fisheries,46114.67433
Union,approved,expenditure,2012,General Expenditure,Industry,320133.3977
Union,approved,expenditure,2012,General Expenditure,Rail Transportation,80880.63894
Union,approved,expenditure,2012,General Expenditure,Mines,39368.1488
Union,approved,expenditure,2012,General Expenditure,Construction,263818.9779
Union,approved,expenditure,2012,General Expenditure,Finance and Revenue,469781.4682
Union,approved,expenditure,2012,General Expenditure,Electric Power,175717.39
Union,approved,expenditure,2012,General Expenditure,National Planning and Economic Development,6573.64385
Union,approved,expenditure,2012,General Expenditure,"Labour, Employment and Social Security ",6251.0866
Union,approved,expenditure,2012,General Expenditure,"Social Welfare, Relief and Resettlement",6848.5511
Union,approved,expenditure,2012,General Expenditure,Transportation,50187.2177
Union,approved,expenditure,2012,General Expenditure,"Communications, Posts And Telegraphs",267549.051
Union,approved,expenditure,2012,General Expenditure,Energy,996550.849
Union,approved,expenditure,2012,General Expenditure,Immigration and Populations,2442.641
Union,approved,expenditure,2012,General Expenditure,Science and Technology,23013.8168
Union,approved,expenditure,2012,General Expenditure,Environmental Conservation and Forestry,137497.831
Union,approved,expenditure,2012,General Expenditure,Electric Power No.(2),267612.146
Union,approved,expenditure,2012,General Expenditure,Commerce,5407.093
Union,approved,expenditure,2012,General Expenditure,Hotel and Tourism,4459.362
Union,approved,expenditure,2012,General Expenditure,Sports,3769.97
Union,approved,expenditure,2012,General Expenditure,Education,274480.579
Union,approved,expenditure,2012,General Expenditure,Health,65793.77869
Union,approved,expenditure,2012,General Expenditure,Pension and Rewards,39028.072
Union,approved,expenditure,2012,General Expenditure,Rewards and Lump Sum Pension,27060.5
Union,approved,expenditure,2012,General Expenditure,President,3566.742
Union,approved,expenditure,2012,General Expenditure,Union Government,1895.409
Union,approved,expenditure,2012,General Expenditure,Union Parliament,8956.9716
Union,approved,expenditure,2012,General Expenditure,Union Supreme Court,1148.923
Union,approved,expenditure,2012,General Expenditure,Union Attorney General,889.875
Union,approved,expenditure,2012,General Expenditure,Union Auditor General,1275.63488
Union,approved,expenditure,2012,General Expenditure,Union Election Commission,1198.6
Union,approved,expenditure,2012,General Expenditure,Union Civil Service Board,4374.651
Union,approved,expenditure,2012,General Expenditure,Union Constitutional Court,426.264
Union,approved,expenditure,2012,General Expenditure,Garrison City,368.134
Union,approved,expenditure,2012,General Expenditure,NPT,2050
Union,approved,expenditure,2013,General Expenditure,Home Affairs,96779.451
Union,approved,expenditure,2013,General Expenditure,Defence,865462.828
Union,approved,expenditure,2013,General Expenditure,Border Affairs,10117.591
Union,approved,expenditure,2013,General Expenditure,Foreign Affairs,24701.659
Union,approved,expenditure,2013,General Expenditure,Information,11495.151
Union,approved,expenditure,2013,General Expenditure,Culture,3505.1
Union,approved,expenditure,2013,General Expenditure,Agriculture and Irrigation,175492.202
Union,approved,expenditure,2013,General Expenditure,Religious Affairs,5597.923
Union,approved,expenditure,2013,General Expenditure,Co-operative,1129.567
Union,approved,expenditure,2013,General Expenditure,Livestock and Fisheries,4172.287
Union,approved,expenditure,2013,General Expenditure,Industry,5255.666
Union,approved,expenditure,2013,General Expenditure,Rail Transportation,3596.995
Union,approved,expenditure,2013,General Expenditure,Mines,2501.634
Union,approved,expenditure,2013,General Expenditure,Construction,116719.319
Union,approved,expenditure,2013,General Expenditure,Finance and Revenue,14740.456
Union,approved,expenditure,2013,General Expenditure,Electric Power,14711.372
Union,approved,expenditure,2013,General Expenditure,National Planning and Economic Development,10059.141
Union,approved,expenditure,2013,General Expenditure,"Labour, Employment and Social Security ",2446.8
Union,approved,expenditure,2013,General Expenditure,"Social Welfare, Relief and Resettlement",11358.51
Union,approved,expenditure,2013,General Expenditure,Transportation,8519.623
Union,approved,expenditure,2013,General Expenditure,"Communications, Posts And Telegraphs",255.435
Union,approved,expenditure,2013,General Expenditure,Energy,308.652
Union,approved,expenditure,2013,General Expenditure,Immigration and Populations,9879.154
Union,approved,expenditure,2013,General Expenditure,Science and Technology,9757.143
Union,approved,expenditure,2013,General Expenditure,Environmental Conservation and Forestry,9132.427
Union,approved,expenditure,2013,General Expenditure,Electric Power No.(2),310.78
Union,approved,expenditure,2013,General Expenditure,Commerce,3383.147
Union,approved,expenditure,2013,General Expenditure,Hotel and Tourism,453.592
Union,approved,expenditure,2013,General Expenditure,Sports,6570.657
Union,approved,expenditure,2013,General Expenditure,Education,542952.048
Union,approved,expenditure,2013,General Expenditure,Health,176935.083
Union,approved,expenditure,2013,General Expenditure,Pension and Rewards,253904.077
Union,approved,expenditure,2013,General Expenditure,Rewards and Lump Sum Pension,27060.5
Union,approved,expenditure,2013,General Expenditure,Special Fund,1.00E+05
Union,approved,expenditure,2013,General Expenditure,President,13871.122
Union,approved,expenditure,2013,General Expenditure,Union Government,1242.287
Union,approved,expenditure,2013,General Expenditure,Union Parliament,11272.539
Union,approved,expenditure,2013,General Expenditure,Union Supreme Court,832.504
Union,approved,expenditure,2013,General Expenditure,Union Attorney General,1420.097
Union,approved,expenditure,2013,General Expenditure,Union Auditor General,1478.04
Union,approved,expenditure,2013,General Expenditure,Union Election Commission,1548.366
Union,approved,expenditure,2013,General Expenditure,Union Civil Service Board,5150.485
Union,approved,expenditure,2013,General Expenditure,Union Constitutional Court,399.883
Union,approved,expenditure,2013,General Expenditure,SEEs under the Ministry of Information,12847.485
Union,approved,expenditure,2013,General Expenditure,SEEs under the Ministry of Agriculture and Irrigation,41594.76
Union,approved,expenditure,2013,General Expenditure,SEEs under the Ministry of Co-operative,269.039
Union,approved,expenditure,2013,General Expenditure,SEEs under the Ministry of Livestock and Fisheries,12042.301
Union,approved,expenditure,2013,General Expenditure,SEEs under the Ministry of Industry,137204.888
Union,approved,expenditure,2013,General Expenditure,SEEs under the Ministry of Rail Transportation,68638.856
Union,approved,expenditure,2013,General Expenditure,SEEs under the Ministry of Mines,158990.493
Union,approved,expenditure,2013,General Expenditure,SEEs under the Ministry of Construction,95875.725
Union,approved,expenditure,2013,General Expenditure,SEEs under the Ministry of Finance and Revenue,612460.088
Union,approved,expenditure,2013,General Expenditure,SEEs under the Ministry of Electricity Power,117903.153
Union,approved,expenditure,2013,General Expenditure,SEEs under the Ministry of Labour,5034.94
Union,approved,expenditure,2013,General Expenditure,SEEs under the Ministry of Transportation,47345.51
Union,approved,expenditure,2013,General Expenditure,"SEEs under the Ministry of Communications, Posts and Telegraphs",490390.301
Union,approved,expenditure,2013,General Expenditure,SEEs under the Ministry of Energy,1643552.802
Union,approved,expenditure,2013,General Expenditure,SEEs under the Ministry of Environmental Conservation and Forestry,210806.46
Union,approved,expenditure,2013,General Expenditure,SEEs under the Ministry of Industry No. (2),263318.23
Union,approved,expenditure,2013,General Expenditure,SEEs under the Ministry of Economic and Trade,7364.675
Union,approved,expenditure,2013,General Expenditure,SEEs under the Ministry of Hotels and Tourism,4158.396
Union,approved,expenditure,2013,General Expenditure,Garrison City,571.969
Union,approved,expenditure,2013,General Expenditure,NPT,3375.24
Union,approved,expenditure,2014,General Expenditure,Home Affairs,164657.155
Union,approved,expenditure,2014,General Expenditure,Defence,1177244.486
Union,approved,expenditure,2014,General Expenditure,Border Affairs,14721.312
Union,approved,expenditure,2014,General Expenditure,Foreign Affairs,35522.741
Union,approved,expenditure,2014,General Expenditure,Information,14014.874
Union,approved,expenditure,2014,General Expenditure,Religious Affairs,6240.647
Union,approved,expenditure,2014,General Expenditure,Co-operative,2420.912
Union,approved,expenditure,2014,General Expenditure,Agriculture and Irrigation,179704.013
Union,approved,expenditure,2014,General Expenditure,Livestock and Fisheries,4806.933
Union,approved,expenditure,2014,General Expenditure,Communication and Information Technology,275.79
Union,approved,expenditure,2014,General Expenditure,Transportation,10884.782
Union,approved,expenditure,2014,General Expenditure,Environmental Conservation and Forestry,10854.912
Union,approved,expenditure,2014,General Expenditure,Electric Power,17304.092
Union,approved,expenditure,2014,General Expenditure,Immigration and Populations,24400.197
Union,approved,expenditure,2014,General Expenditure,Energy,385.818
Union,approved,expenditure,2014,General Expenditure,Industry,4233.009
Union,approved,expenditure,2014,General Expenditure,Commerce ,6792.658
Union,approved,expenditure,2014,General Expenditure,Sports,36018.564
Union,approved,expenditure,2014,General Expenditure,Education,685375.34
Union,approved,expenditure,2014,General Expenditure,Health,303054.213
Union,approved,expenditure,2014,General Expenditure,Mines,2301.201
Union,approved,expenditure,2014,General Expenditure,Culture,8237.724
Union,approved,expenditure,2014,General Expenditure,Finance and Revenue,15914.987
Union,approved,expenditure,2014,General Expenditure,National Planning and Economic Development,12387.048
Union,approved,expenditure,2014,General Expenditure,Construction,85833.96
Union,approved,expenditure,2014,General Expenditure,"Labour, Employment and Social Security ",6292.83
Union,approved,expenditure,2014,General Expenditure,Rail Transportation,5435.868
Union,approved,expenditure,2014,General Expenditure,"Social Welfare, Relief and Resettlement",5742.481
Union,approved,expenditure,2014,General Expenditure,Science and Technology,38530.175
Union,approved,expenditure,2014,General Expenditure,Hotel and Tourism,751.117
Union,approved,expenditure,2014,General Expenditure,Pension and Rewards,309928.141
Union,approved,expenditure,2014,General Expenditure,Rewards and Lump Sum Pension,50500.5
Union,approved,expenditure,2014,General Expenditure,Special Fund,1.00E+05
Union,approved,expenditure,2014,General Expenditure,President,10321.418
Union,approved,expenditure,2014,General Expenditure,Union Government,1277.322
Union,approved,expenditure,2014,General Expenditure,Union Parliament,14024.442
Union,approved,expenditure,2014,General Expenditure,Union Supreme Court,1194.843
Union,approved,expenditure,2014,General Expenditure,Union Attorney General,1305.202
Union,approved,expenditure,2014,General Expenditure,Union Auditor General,1783.031
Union,approved,expenditure,2014,General Expenditure,Union Election Commission,3242.205
Union,approved,expenditure,2014,General Expenditure,Union Civil Service Board,5551.992
Union,approved,expenditure,2014,General Expenditure,Union Constitutional Court,445.728
Union,approved,expenditure,2014,General Expenditure,SEEs under the Ministry of Information,8936.688
Union,approved,expenditure,2014,General Expenditure,SEEs under the Ministry of Agriculture and Irrigation,29867.828
Union,approved,expenditure,2014,General Expenditure,SEEs under the Ministry of Co-operative,296.942
Union,approved,expenditure,2014,General Expenditure,SEEs under the Ministry of Livestock and Fisheries,9318.539
Union,approved,expenditure,2014,General Expenditure,SEEs under the Ministry of Industry,125615.43
Union,approved,expenditure,2014,General Expenditure,SEEs under the Ministry of Rail Transportation,66718.568
Union,approved,expenditure,2014,General Expenditure,SEEs under the Ministry of Mines,22095.616
Union,approved,expenditure,2014,General Expenditure,SEEs under the Ministry of Construction,95136.394
Union,approved,expenditure,2014,General Expenditure,SEEs under the Ministry of Finance and Revenue,638371.591
Union,approved,expenditure,2014,General Expenditure,SEEs under the Ministry of Electricity Power,154286.569
Union,approved,expenditure,2014,General Expenditure,SEEs under the Ministry of Transportation,88819.949
Union,approved,expenditure,2014,General Expenditure,"SEEs under the Ministry of Communications, Posts and Telegraphs",91353.711
Union,approved,expenditure,2014,General Expenditure,SEEs under the Ministry of Energy,831394.655
Union,approved,expenditure,2014,General Expenditure,SEEs under the Ministry of Environmental Conservation and Forestry,254230.236
Union,approved,expenditure,2014,General Expenditure,SEEs under the Ministry of Hotels and Tourism,4411.841
Union,approved,expenditure,2014,General Expenditure,Garrison City,772.233
Union,approved,expenditure,2014,General Expenditure,NPT,5311.034
Union,approved,expenditure,2015,General Expenditure,Home Affairs,203406.728
Union,approved,expenditure,2015,General Expenditure,Defence,1150449.08
Union,approved,expenditure,2015,General Expenditure,Border Affairs,15299.661
Union,approved,expenditure,2015,General Expenditure,Foreign Affairs,41921.192
Union,approved,expenditure,2015,General Expenditure,Information,24196.36
Union,approved,expenditure,2015,General Expenditure,Religious Affairs,7178.184
Union,approved,expenditure,2015,General Expenditure,Co-operative,2942.721
Union,approved,expenditure,2015,General Expenditure,Agriculture and Irrigation,202199.565
Union,approved,expenditure,2015,General Expenditure,Livestock and Fisheries,32408.523
Union,approved,expenditure,2015,General Expenditure,Communication and Information Technology,484.28
Union,approved,expenditure,2015,General Expenditure,Transportation,13520.591
Union,approved,expenditure,2015,General Expenditure,Environmental Conservation and Forestry,12872.439
Union,approved,expenditure,2015,General Expenditure,Electric Power,15179.237
Union,approved,expenditure,2015,General Expenditure,Immigration and Populations,13562.108
Union,approved,expenditure,2015,General Expenditure,Energy,511.803
Union,approved,expenditure,2015,General Expenditure,Industry,5019.686
Union,approved,expenditure,2015,General Expenditure,Commerce,11592.372
Union,approved,expenditure,2015,General Expenditure,Sports,10198.747
Union,approved,expenditure,2015,General Expenditure,Education,873765.153
Union,approved,expenditure,2015,General Expenditure,Health,381178.267
Union,approved,expenditure,2015,General Expenditure,Mines,2518.119
Union,approved,expenditure,2015,General Expenditure,Culture,6176.043
Union,approved,expenditure,2015,General Expenditure,Finance and Revenue,19611.051
Union,approved,expenditure,2015,General Expenditure,National Planning and Economic Development,14617.047
Union,approved,expenditure,2015,General Expenditure,Construction,87442.282
Union,approved,expenditure,2015,General Expenditure,"Labour, Employment and Social Security ",9161.469
Union,approved,expenditure,2015,General Expenditure,Rail Transportation,6638.136
Union,approved,expenditure,2015,General Expenditure,"Social Welfare, Relief and Resettlement",7600.388
Union,approved,expenditure,2015,General Expenditure,Science and Technology,45170.218
Union,approved,expenditure,2015,General Expenditure,Hotel and Tourism,3072.167
Union,approved,expenditure,2015,General Expenditure,Pension and Rewards,412963.607
Union,approved,expenditure,2015,General Expenditure,Rewards and Lump Sum Pension,36500.5
Union,approved,expenditure,2015,General Expenditure,Special Fund,1.00E+05
Union,approved,expenditure,2015,General Expenditure,Social Security Board (MOL),9199.06
Union,approved,expenditure,2015,General Expenditure,President,14555.925
Union,approved,expenditure,2015,General Expenditure,Union Government,1486.466
Union,approved,expenditure,2015,General Expenditure,Union Parliament,1659.859
Union,approved,expenditure,2015,General Expenditure,Pyithu Hluttaw,8423.349
Union,approved,expenditure,2015,General Expenditure,A Myo thar Hluttaw,6078.739
Union,approved,expenditure,2015,General Expenditure,Union Supreme Court,11083.25
Union,approved,expenditure,2015,General Expenditure,Union Constitutional Court,686.427
Union,approved,expenditure,2015,General Expenditure,Union Election Commission,5084.242
Union,approved,expenditure,2015,General Expenditure,Union Attorney General,1418.483
Union,approved,expenditure,2015,General Expenditure,Union Auditor General,2400.487
Union,approved,expenditure,2015,General Expenditure,Union Civil Service Board,6548.875
Union,approved,expenditure,2015,General Expenditure,SEEs under the Ministry of Information,8975.777
Union,approved,expenditure,2015,General Expenditure,SEEs under the Ministry of Co-operative,323.205
Union,approved,expenditure,2015,General Expenditure,SEEs under the Ministry of Agriculture and Irrigation,45605.901
Union,approved,expenditure,2015,General Expenditure,SEEs under the Ministry Communication and Information Technology,196021.299
Union,approved,expenditure,2015,General Expenditure,SEEs under the Ministry of Environmental Conservation and Forestry,137310.615
Union,approved,expenditure,2015,General Expenditure,SEEs under the Ministry of Electricity Power,288050.366
Union,approved,expenditure,2015,General Expenditure,SEEs under the Ministry of Energy,949503.981
Union,approved,expenditure,2015,General Expenditure,SEEs under the Ministry of Industry,164646.217
Union,approved,expenditure,2015,General Expenditure,SEEs under the Ministry of Mines,25597.861
Union,approved,expenditure,2015,General Expenditure,SEEs under the Ministry of Finance and Revenue,349969.518
Union,approved,expenditure,2015,General Expenditure,SEEs under the Ministry of Construction,98492.111
Union,approved,expenditure,2015,General Expenditure,SEEs under the Ministry of Rail Transportation,86436.526
Union,approved,expenditure,2015,General Expenditure,Central Bank of Myanmar,346182.203
Union,approved,expenditure,2015,General Expenditure,SEEs under the Ministry of Transportation,88968.345
Union,approved,expenditure,2015,General Expenditure,Garrison City,912.979
Union,approved,expenditure,2015,General Expenditure,NPT,5764.84
Union,approved,expenditure,2016,General Expenditure,Home Affairs,241047.591
Union,approved,expenditure,2016,General Expenditure,Defence,1486337.109
Union,approved,expenditure,2016,General Expenditure,Border Affairs,20496.292
Union,approved,expenditure,2016,General Expenditure,Foreign Affairs,38415.039
Union,approved,expenditure,2016,General Expenditure,Information,27622.429
Union,approved,expenditure,2016,General Expenditure,Religious Affairs,8567.716
Union,approved,expenditure,2016,General Expenditure,Co-operative,4928.458
Union,approved,expenditure,2016,General Expenditure,Agriculture and Irrigation,228565.684
Union,approved,expenditure,2016,General Expenditure,Livestock and Fisheries,29828.291
Union,approved,expenditure,2016,General Expenditure,Communication and Information Technology,1729.994
Union,approved,expenditure,2016,General Expenditure,Transportation,17128.963
Union,approved,expenditure,2016,General Expenditure,Environmental Conservation and Forestry,14177.584
Union,approved,expenditure,2016,General Expenditure,Electric Power,17198.784
Union,approved,expenditure,2016,General Expenditure,Immigration and Populations,19325.461
Union,approved,expenditure,2016,General Expenditure,Energy,637.221
Union,approved,expenditure,2016,General Expenditure,Industry,9036.229
Union,approved,expenditure,2016,General Expenditure,Commerce,13400.816
Union,approved,expenditure,2016,General Expenditure,Sports,18004.277
Union,approved,expenditure,2016,General Expenditure,Education,1131447.135
Union,approved,expenditure,2016,General Expenditure,Health,400704.525
Union,approved,expenditure,2016,General Expenditure,Mines,3119.253
Union,approved,expenditure,2016,General Expenditure,Culture,7999.869
Union,approved,expenditure,2016,General Expenditure,Finance and Revenue,30024.914
Union,approved,expenditure,2016,General Expenditure,National Planning and Economic Development,14820.977
Union,approved,expenditure,2016,General Expenditure,Construction,103191.609
Union,approved,expenditure,2016,General Expenditure,"Labour, Employment and Social Security ",9648
Union,approved,expenditure,2016,General Expenditure,Rail Transportation,11340.665
Union,approved,expenditure,2016,General Expenditure,"Social Welfare, Relief and Resettlement",9322.244
Union,approved,expenditure,2016,General Expenditure,Science and Technology,59549.472
Union,approved,expenditure,2016,General Expenditure,Hotel and Tourism,3721.102
