LevelID,Level,Type,Flow,Year,Source,Organization,Amount
sub05,Kayah,approved,expenditure,2017,Current Account,Region/State Cabinet,3578.4
sub05,Kayah,approved,expenditure,2017,Capital Account,Region/State Cabinet,11930.1
sub05,Kayah,approved,expenditure,2017,Current Account,Region/State Hluttaw,176.27
sub05,Kayah,approved,expenditure,2017,Capital Account,Region/State Hluttaw,39.323
sub05,Kayah,approved,expenditure,2017,Current Account,Courts,65.344
sub05,Kayah,approved,expenditure,2017,Current Account,Legal Offices,198.103
sub05,Kayah,approved,expenditure,2017,Current Account,Accounting Offices,462.778
sub05,Kayah,approved,expenditure,2017,Capital Account,Accounting Offices,56
sub05,Kayah,approved,expenditure,2017,Current Account,General Administration Department,1759.837
sub05,Kayah,approved,expenditure,2017,Grants,General Administration Department,20
sub05,Kayah,approved,expenditure,2017,Capital Account,General Administration Department,976.746
sub05,Kayah,approved,expenditure,2017,Current Account,Special Investigation Department,174.252
sub05,Kayah,approved,expenditure,2017,Capital Account,Special Investigation Department,49.4
sub05,Kayah,approved,expenditure,2017,Current Account,Fire Services Department,565.609
sub05,Kayah,approved,expenditure,2017,Capital Account,Fire Services Department,2485.62
sub05,Kayah,approved,expenditure,2017,Current Account,Cooperative Department,263.853
sub05,Kayah,approved,expenditure,2017,Capital Account,Cooperative Department,30
sub05,Kayah,approved,expenditure,2017,Current Account,Small Enterprises,92.329
sub05,Kayah,approved,expenditure,2017,Capital Account,Small Enterprises,294.625
sub05,Kayah,approved,expenditure,2017,Current Account,Agriculture Department,688.491
sub05,Kayah,approved,expenditure,2017,Capital Account,Agriculture Department,426.09
sub05,Kayah,approved,expenditure,2017,Current Account,Fisheries Department,49.834
sub05,Kayah,approved,expenditure,2017,Current Account,Livestock Breeding and Veterinary Department,168.538
sub05,Kayah,approved,expenditure,2017,Capital Account,Livestock Breeding and Veterinary Department,123
sub05,Kayah,approved,expenditure,2017,Current Account,Forestry,377.953
sub05,Kayah,approved,expenditure,2017,Capital Account,Forestry,265.64
sub05,Kayah,approved,expenditure,2017,Current Account,Environmental Department,49.36
sub05,Kayah,approved,expenditure,2017,Capital Account,Environmental Department,379.414
sub05,Kayah,approved,expenditure,2017,Current Account,Sports and Physical Education Department,278.351
sub05,Kayah,approved,expenditure,2017,Capital Account,Sports and Physical Education Department,1768.922
sub05,Kayah,approved,expenditure,2017,Current Account,Budget Department,72.283
sub05,Kayah,approved,expenditure,2017,Capital Account,Budget Department,240.864
sub05,Kayah,approved,expenditure,2017,Current Account,Planning Department,288.161
sub05,Kayah,approved,expenditure,2017,Capital Account,Planning Department,253.95
sub05,Kayah,approved,expenditure,2017,Current Account,Human Settlement and Housing Development Department,198.248
sub05,Kayah,approved,expenditure,2017,Capital Account,Human Settlement and Housing Development Department,1747.71
sub05,Kayah,approved,expenditure,2017,Current Account,Road Department,5489.578
sub05,Kayah,approved,expenditure,2017,Capital Account,Road Department,12061.969
sub05,Kayah,approved,expenditure,2017,Current Account,Development Affairs Organizations,755.364
